set_num,url,vector
4,/sports/mvball/2017-18/boxscores/20180331_eo9c.xml,"[0.2, -0.8, -0.2, -2.4, -3.4, -3.2, -3.5, -3.5, -4.5, -3.5]"
5,/sports/mvball/2017-18/boxscores/20180331_eo9c.xml,"[0.0, 0.0, -0.5, 0.0, 0.5, -1.5, -1.0, 0.5, -0.5, 1.0]"
1,/sports/mvball/2017-18/boxscores/20180331_stsy.xml,"[-0.2, 0.0, 1.8, 2.8, 3.4, 1.6, 1.8, 0.0, 0.5, -1.0]"
2,/sports/mvball/2017-18/boxscores/20180331_stsy.xml,"[-0.2, -0.4, 0.6, -0.4, -1.0, -0.5, -2.0, -3.0, -6.0, -6.0]"
3,/sports/mvball/2017-18/boxscores/20180331_stsy.xml,"[-2.2, -2.4, -3.4, -2.0, -1.0, -2.0, -3.5, -3.5, -3.0, -3.5]"
1,/sports/mvball/2016-17/boxscores/20170115_gv62.xml,"[0.6, 0.4, 2.8, 5.8, 6.4, 4.0, 3.5, 4.0, 4.0, 5.0]"
2,/sports/mvball/2016-17/boxscores/20170115_gv62.xml,"[-0.6, -1.6, -0.6, 0.8, 1.8, 3.2, 3.5, 5.0, 5.0, 4.0]"
3,/sports/mvball/2016-17/boxscores/20170115_gv62.xml,"[-2.6, -4.0, -4.6, -3.6, -3.0, -0.5, 3.0, 2.5, 2.0, 3.5]"
1,/sports/mvball/2016-17/boxscores/20170115_cpum.xml,"[-1.5, -4.0, -3.0, -3.5, -5.5, -5.0, -7.5, -7.5, -10.0, -9.5]"
2,/sports/mvball/2016-17/boxscores/20170115_cpum.xml,"[0.2, -0.4, -1.0, 0.0, 3.0, 1.2, -2.5, -3.0, -3.5, -3.5]"
3,/sports/mvball/2016-17/boxscores/20170115_cpum.xml,"[0.16666666666666666, -1.5, -1.0, -2.0, -2.2, -4.4, -3.8, -2.4, -1.0, -0.8]"
1,/sports/mvball/2016-17/boxscores/20170119_600o.xml,"[-1.0, -5.2, -6.6, -6.8, -5.8, -8.0, -6.0, -9.0, -6.5, -4.5]"
2,/sports/mvball/2016-17/boxscores/20170119_600o.xml,"[0.5, 0.5, -1.0, -2.5, -4.5, -4.5, -4.5, -6.5, -9.0, -10.0]"
3,/sports/mvball/2016-17/boxscores/20170119_600o.xml,"[-1.75, -3.5, -2.0, -1.0, -1.0, -2.0, -3.0, -2.5, -4.0, -7.5]"
1,/sports/mvball/2016-17/boxscores/20170125_t6o1.xml,"[-0.5, -4.5, -8.0, -11.0, -13.333333333333334, -13.666666666666666, -14.0, -15.0, -16.666666666666668, -17.0]"
2,/sports/mvball/2016-17/boxscores/20170125_t6o1.xml,"[-1.8, -0.5, -0.5, -1.5, -2.0, -2.5, -5.5, -7.5, -8.5, -8.5]"
3,/sports/mvball/2016-17/boxscores/20170125_t6o1.xml,"[-1.0, -4.0, -4.5, -6.5, -8.0, -10.5, -11.5, -10.5, -11.5, -10.0]"
1,/sports/mvball/2016-17/boxscores/20170128_wfeq.xml,"[0.6, 1.0, -1.5, -4.0, -5.0, -5.5, -7.5, -7.0, -8.5, -8.5]"
2,/sports/mvball/2016-17/boxscores/20170128_wfeq.xml,"[-0.6, -3.2, -3.0, -3.2, -3.0, -3.2, -2.5, -2.5, -2.5, -3.5]"
3,/sports/mvball/2016-17/boxscores/20170128_wfeq.xml,"[0.6, 0.0, 0.6, -0.5, -2.0, -2.5, -4.0, -4.5, -6.5, -7.0]"
1,/sports/mvball/2016-17/boxscores/20170128_c6ax.xml,"[-0.2, 0.4, 0.0, 2.0, 0.5, 0.5, 0.5, -2.5, -5.0, -6.5]"
2,/sports/mvball/2016-17/boxscores/20170128_c6ax.xml,"[0.2, 0.5, -1.5, -2.5, -2.5, -3.0, -5.5, -6.5, -8.0, -8.5]"
3,/sports/mvball/2016-17/boxscores/20170128_c6ax.xml,"[-1.0, -4.5, -5.0, -7.5, -8.5, -11.5, -12.0, -13.666666666666666, -12.666666666666666, -13.666666666666666]"
1,/sports/mvball/2016-17/boxscores/20170202_kp7u.xml,"[1.0, 2.0, 3.8, 3.5, 4.0, 4.5, 5.0, 6.0, 6.5, 6.5]"
2,/sports/mvball/2016-17/boxscores/20170202_kp7u.xml,"[-1.8, -1.2, 0.2, 0.4, 1.0, -0.4, 0.6, 0.8, 1.0, 1.0]"
3,/sports/mvball/2016-17/boxscores/20170202_kp7u.xml,"[-0.6, 0.0, -0.6, -0.5, 1.5, 3.5, 2.0, 3.5, 6.5, 6.0]"
1,/sports/mvball/2016-17/boxscores/20170204_b4ng.xml,"[-0.6, 0.4, 0.6, 0.4, 1.4, 1.6, 2.2, 0.4, 0.0, -1.5]"
2,/sports/mvball/2016-17/boxscores/20170204_b4ng.xml,"[-0.6, -2.0, -2.6, -4.8, -4.2, -4.8, -4.5, -5.5, -4.0, -3.5]"
3,/sports/mvball/2016-17/boxscores/20170204_b4ng.xml,"[-1.4, 0.0, 4.6, 6.0, 3.0, 1.6, 2.2, 1.2, 0.5, 1.5]"
4,/sports/mvball/2016-17/boxscores/20170204_b4ng.xml,"[-0.5, -3.1666666666666665, -4.2, -3.6, -2.6, -0.4, -1.0, -0.4, 1.4, 0.8]"
5,/sports/mvball/2016-17/boxscores/20170204_b4ng.xml,"[-2.0, -3.0, -2.0, 0.3333333333333333, -1.5, -1.5, -3.5, -3.5, -4.5, -5.5]"
1,/sports/mvball/2016-17/boxscores/20170204_uaa9.xml,"[-0.2, 1.2, 2.6, 4.4, 3.4, 1.6, -0.6, -3.0, -2.0, -2.0]"
2,/sports/mvball/2016-17/boxscores/20170204_uaa9.xml,"[-1.8, -2.8, -1.0, -2.8, -4.2, -3.6, -4.2, -3.2, -1.5, -1.0]"
3,/sports/mvball/2016-17/boxscores/20170204_uaa9.xml,"[-0.6, -0.8, -0.6, -3.6, -4.2, -2.4, -1.0, -4.0, -3.5, -3.0]"
1,/sports/mvball/2016-17/boxscores/20170207_ev69.xml,"[0.0, 0.5, 0.0, -1.0, -2.0, -3.5, -5.5, -5.0, -8.5, -9.5]"
2,/sports/mvball/2016-17/boxscores/20170207_ev69.xml,"[1.4, -0.4, 3.0, 5.5, 4.5, 2.0, 1.5, 2.0, 3.5, 6.5]"
3,/sports/mvball/2016-17/boxscores/20170207_ev69.xml,"[1.4, 2.4, 3.0, 1.5, -0.5, -2.0, -2.5, -5.5, -6.0, -6.0]"
4,/sports/mvball/2016-17/boxscores/20170207_ev69.xml,"[0.2, 1.2, 1.4, 2.0, 1.5, -1.5, -3.5, -3.0, -2.0, -3.5]"
1,/sports/mvball/2016-17/boxscores/20170210_hh5u.xml,"[-1.0, -2.8, -1.0, 0.8, -0.2, -0.4, -3.0, -2.5, -1.0, 1.5]"
